AuditId,PID,Manufacturer,Model,SerialNumber,Description
15021026,4421518,LENOVO,ST600MM0009,WFJ09HJS,2.5 Hard Drive
15021026,4421519,LENOVO,ST600MM0009,WFJ09HLL,2.5 Hard Drive
15021026,4421520,LENOVO,ST600MM0009,WFJ3YD86,2.5 Hard Drive
15021026,4421521,LENOVO,AL15SEB060N,60f0a0sjfhsf,2.5 Hard Drive
15021026,4421522,LENOVO,AL15SEB060N,11q0a0nafhsf,2.5 Hard Drive
15021026,4421523,LENOVO,AL15SEB060N,90e0a0l0fhsf,2.5 Hard Drive
15021026,4421524,LENOVO,AL15SEB060N,91l0a0kxfhsf,2.5 Hard Drive
15021026,4421525,DELL,ST2000NX0463,W460PLQY,2.5 Hard Drive
15021026,4421526,DELL,AL14SEB060N,3770A191F07C,2.5 Hard Drive
15021026,4421527,DELL,AL14SEB060N,86P0A04BF07C,2.5 Hard Drive
15021026,4421528,DELL,AL14SEB060N,3770A0NLF07C,2.5 Hard Drive
15021026,4421529,DELL,AL14SEB060N,3770A174F07C,2.5 Hard Drive
15021026,4421530,DELL,AL14SEB060N,86P0A04NF07C,2.5 Hard Drive
15021026,4421531,DELL,AL14SEB060N,3770A190F07C,2.5 Hard Drive
15021026,4421532,DELL,AL14SEB060N,3770A17TF07C,2.5 Hard Drive
15021026,4421533,DELL,AL14SEB060N,3770A0CDF07C,2.5 Hard Drive
15021026,4421534,DELL,AL14SEB060N,3770A0NFF07C,2.5 Hard Drive
15021026,4421535,DELL,AL14SEB060N,3770A1E2F07C,2.5 Hard Drive
15021026,4421536,DELL,AL14SEB060N,3770A19KF07C,2.5 Hard Drive
15021026,4421537,DELL,AL14SEB060N,3770A1ATF07C,2.5 Hard Drive
15021026,4421538,DELL,AL14SEB060N,86P0A025F07C,2.5 Hard Drive
15021026,4421539,DELL,AL14SEB060N,3760A102F07C,2.5 Hard Drive
15021026,4421540,DELL,AL14SEB060N,3770A18FF07C,2.5 Hard Drive
15021026,4421541,DELL,ST2000NX0463,W4639ARS,2.5 Hard Drive
15021026,4421542,DELL,ST2000NX0463,W460PJ1P,2.5 Hard Drive
15021026,4421543,DELL,ST2000NX0463,W460PJBV,2.5 Hard Drive
